Age,Sex,Height_cm,Weight_kg,BMI,BodyFat_PC,LeanMass_kg,ActivityLevel_1to5,Calorie_Maintenance
56,M,174,81,26.8,30,56.7,3,2514
46,M,177,73,23.3,24.2,55.4,2,2215
32,F,173,88,29.4,10.2,79,5,3116
60,F,179,61,19,22.4,47.3,3,1965
25,F,165,88,32.3,12.1,77.4,3,2519
38,F,176,67,21.6,10.9,59.7,5,2696
56,M,172,61,20.6,8,56.1,4,2432
36,F,161,93,35.9,11.2,82.6,4,2751
40,M,150,75,33.3,12.5,65.6,2,2052
28,M,153,95,40.6,32.2,64.4,4,3055
28,F,147,72,33.3,26.6,52.9,3,2073
41,M,174,82,27.1,38,50.8,2,2347
53,M,166,85,30.8,20.4,67.6,5,3092
57,M,170,65,22.5,11.6,57.4,2,1969
41,M,168,75,26.6,21.9,58.6,5,3040
20,F,175,72,23.5,18.6,58.6,1,1863
39,F,176,82,26.5,25.4,61.2,3,2424
19,M,170,54,18.7,10.6,48.3,1,1815
41,F,171,79,27,22.4,61.3,5,2836
61,M,171,83,28.4,32.8,55.8,1,1918
47,F,183,59,17.6,32.9,39.6,3,2073
55,F,149,56,25.2,31.5,38.3,3,1635
19,F,163,45,16.9,26.4,33.1,4,2091
38,F,178,101,31.9,29.5,71.2,4,3055
50,F,181,59,18,21.7,46.2,1,1572
29,M,174,91,30.1,25.4,67.9,2,2554
39,F,168,66,23.4,21,52.2,2,1861
61,M,188,86,24.3,17.6,70.8,5,3296
42,M,171,78,26.7,24.1,59.2,4,2835
44,F,170,101,34.9,35.6,65,4,2917
59,M,183,91,27.2,24.2,69,3,2733
45,F,174,73,24.1,25.9,54.1,4,2469
33,M,179,74,23.1,28.2,53.1,1,2038
32,M,180,80,24.7,24.6,60.3,2,2433
64,F,166,110,39.9,20.2,87.7,3,2567
61,F,187,71,20.3,28.2,50.9,3,2189
20,F,145,50,23.8,16.1,41.9,3,1775
54,F,150,73,32.4,31.4,50.1,3,1916
24,M,163,60,22.6,32.1,40.8,2,2067
38,F,165,73,26.8,21.6,57.2,2,1939
26,M,173,87,29.1,16.7,72.5,2,2511
56,M,163,77,29,39.1,46.9,3,2346
35,M,169,61,21.4,16.4,51,4,2581
21,M,167,66,23.7,19.6,53,3,2485
42,M,190,54,15,8,49.7,4,2626
31,M,161,89,34.3,33,59.6,1,2095
26,F,153,82,35,10.5,73.4,2,2042
43,M,181,53,16.2,25.9,39.3,1,1741
19,M,162,107,40.8,24.4,80.9,3,3088
37,M,169,66,23.1,21.4,51.9,1,1843
45,F,163,74,27.9,17.7,60.9,4,2367
64,F,177,64,20.4,25.5,47.7,1,1518
24,M,156,76,31.2,35.9,48.7,3,2511
61,F,142,71,35.2,20,56.8,3,1753
25,M,182,49,14.8,8.8,44.7,2,2072
64,F,172,87,29.4,8,80,3,2269
52,M,180,57,17.6,20.5,45.3,2,1980
31,F,182,83,25.1,18.3,67.8,2,2270
34,F,160,66,25.8,20.6,52.4,4,2292
53,F,170,70,24.2,24.3,53,3,2071
57,M,175,77,25.1,18.1,63,1,1900
21,M,168,72,25.5,44.1,40.3,3,2588
19,M,166,81,29.4,25.1,60.7,2,2416
23,F,167,59,21.2,29.2,41.8,5,2579
59,F,180,85,26.2,20.7,67.4,4,2620
21,M,167,54,19.4,20.8,42.8,3,2299
46,F,176,56,18.1,17.2,46.3,1,1522
35,M,173,78,26.1,22.6,60.4,5,3213
43,M,160,85,33.2,9.8,76.7,1,1968
61,M,173,74,24.7,9.1,67.2,3,2357
51,M,154,92,38.8,17,76.3,3,2530
27,F,174,57,18.8,14.4,48.8,3,2110
53,F,178,52,16.4,17,43.1,4,2081
31,F,181,82,25,19.3,66.2,4,2820
48,M,160,71,27.7,19.7,57,1,1770
32,F,164,82,30.5,28.5,58.6,3,2362
25,M,172,54,18.3,28.2,38.8,1,1794
31,M,165,63,23.1,21.8,49.3,4,2606
40,M,150,96,42.7,37.9,59.6,4,2936
57,M,164,66,24.5,18.3,53.9,2,1931
38,M,172,91,30.8,28.7,64.9,4,3105
33,M,180,81,25,26,59.9,3,2751
62,F,186,65,18.8,20.3,51.8,3,2079
35,F,171,91,31.1,21,71.9,3,2546
64,F,175,74,24.2,18.5,60.3,1,1623
41,F,179,70,21.8,28.1,50.4,3,2251
43,M,149,68,30.6,32,46.2,2,1926
42,M,159,76,30.1,22.3,59.1,3,2400
62,F,171,53,18.1,8,48.8,3,1748
58,F,185,83,24.3,26.4,61.1,2,2110
46,F,176,76,24.5,20.6,60.4,2,2019
32,F,173,61,20.4,13.6,52.7,3,2123
62,F,167,50,17.9,22.6,38.7,3,1662
18,F,174,66,21.8,19.2,53.3,4,2581
42,F,164,73,27.1,13.2,63.3,2,1903
24,F,162,72,27.4,20.2,57.4,3,2249
26,M,163,72,27.1,33.3,48,2,2218
41,M,183,80,23.9,23.1,61.5,2,2397
18,M,161,52,20.1,22.2,40.5,3,2233
61,M,166,69,25,25.6,51.4,3,2212
25,F,174,74,24.4,23.9,56.3,2,2119
41,M,161,76,29.3,19.8,61,3,2427
28,F,172,83,28.1,23.6,63.4,3,2486
34,M,172,66,22.3,22.7,51,3,2433
25,F,163,70,26.3,8,64.4,3,2220
52,F,167,58,20.8,26.2,42.8,1,1443
52,M,160,75,29.3,22.4,58.2,3,2317
50,M,183,56,16.7,26.3,41.3,4,2516
22,F,172,78,26.4,21.8,61,2,2178
59,F,159,87,34.4,19.2,70.3,4,2428
56,F,171,77,26.3,14.4,65.9,3,2166
58,M,171,89,30.4,23.3,68.3,2,2301
45,M,147,63,29.2,23.3,48.3,2,1827
24,F,183,52,15.5,32.8,34.9,2,1901
26,M,160,67,26.2,18.1,54.8,4,2665
25,F,190,60,16.6,30.6,41.6,2,2064
29,M,177,62,19.8,28.4,44.4,3,2458
51,M,158,36,14.4,15.8,30.3,3,1701
50,M,166,72,26.1,10.9,64.1,3,2344
40,M,179,70,21.8,30.1,48.9,4,2800
41,M,167,82,29.4,25.7,60.9,4,2869
54,F,181,78,23.8,28.6,55.7,3,2294
52,F,166,67,24.3,23.2,51.5,1,1543
61,M,169,83,29.1,13.8,71.5,2,2181
57,F,179,83,25.9,23.4,63.5,5,2855
39,F,176,62,20,27.2,45.1,1,1636
44,M,160,72,28.1,8,66.2,4,2596
52,F,174,92,30.4,25.8,68.2,3,2459
18,M,171,74,25.3,28.6,52.8,1,2068
52,F,160,57,22.3,29.5,40.2,5,2183
54,F,156,53,21.8,25.7,39.4,5,2040
64,F,150,47,20.9,18.6,38.2,3,1436
31,F,167,39,14,21.5,30.6,2,1536
20,F,169,62,21.7,10.2,55.7,3,2193
18,F,175,67,21.9,30.4,46.6,3,2344
22,F,178,55,17.4,28.3,39.4,3,2156
43,M,165,59,21.7,19.3,47.6,4,2434
31,M,169,55,19.3,26.8,40.3,1,1747
56,M,162,46,17.5,27,33.6,1,1437
44,M,170,67,23.2,13.2,58.1,2,2086
26,F,179,80,25,38.3,49.4,2,2238
32,F,171,62,21.2,15.3,52.5,3,2120
32,F,181,87,26.6,8,80,2,2310
43,M,179,72,22.5,25.2,53.8,3,2524
59,M,184,83,24.5,24.7,62.5,2,2323
30,M,171,70,23.9,18.8,56.8,2,2232
49,F,164,80,29.7,23.7,61.1,5,2696
56,M,176,48,15.5,15.7,40.5,4,2251
49,F,166,82,29.8,8.3,75.2,5,2757
21,M,175,70,22.9,29.8,49.1,3,2625
47,F,163,86,32.4,24.4,65,3,2298
54,M,161,66,25.5,19,53.4,4,2417
40,F,182,96,29,36,61.5,1,2083
56,M,159,78,30.9,19.6,62.7,5,2847
62,M,180,56,17.3,26.7,41,3,2139
32,F,175,86,28.1,14.2,73.8,3,2530
60,F,170,54,18.7,8,49.7,4,1969
46,M,151,53,23.2,26.9,38.7,3,1935
53,F,184,89,26.3,26.7,65.3,4,2784
30,M,160,75,29.3,37.3,47,2,2206
49,F,179,71,22.2,13,61.8,3,2205
24,M,163,62,23.3,8.6,56.7,3,2361
39,F,162,82,31.2,17.1,68,4,2546
45,M,176,65,21,26.4,47.8,2,2103
19,M,175,73,23.8,8,67.2,4,2990
59,M,158,53,21.2,22.6,41,3,1902
